Time,Channel A,Channel B
(ms),(V),(V)

0.00334281,-0.97456320,0.08612204
0.00335881,-0.85722200,0.08612204
0.00337481,-0.73757380,0.08612204
0.00339081,-0.61592640,0.08612204
0.00340681,-0.49212600,0.08612204
0.00342281,-0.36678760,0.08612204
0.00343881,-0.24006520,0.08612204
0.00345481,-0.11211240,0.08612204
0.00347081,0.01660925,0.08612204
0.00348681,0.14594610,0.08612204
0.00350281,0.27543680,0.08612204
0.00351881,0.40508120,0.08612204
0.00353481,0.53441800,0.08612204
0.00355081,0.66313980,0.08612204
0.00356681,0.79109250,0.08612204
0.00358281,0.91781500,0.08612204
0.00359881,1.04315300,0.08612204
0.00361481,1.16695400,0.08612204
0.00363081,1.28875500,0.08612204
0.00364681,1.40840300,0.08612204
0.00366281,1.52543700,0.08612204
0.00367881,1.64001000,0.08612204
0.00369481,1.75166100,0.08612204
0.00371081,1.86023600,0.08612204
0.00372681,1.96542800,0.08612204
0.00374281,2.06739000,0.08612204
0.00375881,2.16566200,0.08612204
0.00377481,2.26008900,0.08612204
0.00379081,2.35082400,0.08612204
0.00380681,2.43756200,0.08612204
0.00382281,2.52014600,0.08612204
0.00383881,2.59873300,0.08612204
0.00385481,2.67316700,0.08612204
0.00387081,2.74329500,0.08612204
0.00388681,2.80927000,0.08612204
0.00390281,2.87109400,0.08612204
0.00391881,2.92861100,0.08612204
0.00393481,2.98213000,0.08612204
0.00395081,3.03149600,0.08612204
0.00396681,3.07686400,0.08612204
0.00398281,3.11838700,0.08612204
0.00399881,3.15606500,0.08612204
0.00401481,3.19020700,0.08612204
0.00403081,3.22065700,0.08612204
0.00404681,3.24787800,0.08612204
0.00406281,3.27171500,0.08612204
0.00407881,3.29263000,0.08612204
0.00409481,3.31062400,0.08612204
0.00411081,3.32600300,0.08612204
0.00412681,3.33907500,0.08612204
0.00414281,3.34968600,0.08612204
0.00415881,3.35829900,0.08612204
0.00417481,3.36506500,0.08612204
0.00419081,3.37014000,0.08612204
0.00420681,3.37398500,0.08612204
0.00422281,3.37659900,0.08612204
0.00423881,3.37829100,0.08612204
0.00425481,3.37921400,0.08612204
0.00427081,3.37952100,0.08612204
0.00428681,3.37967500,0.08612204
0.00430281,3.37952100,0.08612204
0.00431881,3.37952100,0.08612204
0.00433481,3.37982900,0.08612204
0.00435081,3.38105900,0.08612204
0.00436681,3.38121300,0.08612204
0.00438281,3.37798400,0.08612204
0.00439881,3.37413900,0.08612204
0.00441481,3.37044800,0.08612204
0.00443081,3.36752600,0.08612204
0.00444681,3.36521900,0.08612204
0.00446281,3.36383500,0.08612204
0.00447881,3.36322000,0.08612204
0.00449481,3.36337400,0.08612204
0.00451081,3.36429600,0.08612204
0.00452681,3.36568000,0.08612204
0.00454281,3.36783300,0.08612204
0.00455881,3.37060200,0.08612204
0.00457481,3.37383100,0.08612204
0.00459081,3.37783000,0.08612204
0.00460681,3.38229000,0.08612204
0.00462281,3.38736500,0.08612204
0.00463881,3.39320900,0.08612204
0.00465481,3.39951400,0.08612204
0.00467081,3.40628100,0.08612204
0.00468681,3.41366300,0.08612204
0.00470281,3.42135200,0.08612204
0.00471881,3.42965700,0.08612204
0.00473481,3.43842300,0.08612204
0.00475081,3.44749600,0.08612204
0.00476681,3.45687700,0.08612204
0.00478281,3.46672000,0.08612204
0.00479881,3.47702400,0.08612204
0.00481481,3.48748200,0.08612204
0.00483081,3.49824700,0.08612204
0.00484681,3.50947300,0.08612204
0.00486281,3.52100800,0.08612204
0.00487881,3.53269600,0.08612204
0.00489481,3.54469100,0.08612204
0.00491081,3.55699400,0.08612204
0.00492681,3.56945100,0.08612204
0.00494281,3.58221600,0.08612204
0.00495881,3.59528800,0.08612204
0.00497481,3.60851400,0.08612204
0.00499081,3.62189300,0.08612204
0.00500681,3.63558100,0.08612204
0.00502281,3.64926800,0.08612204
0.00503881,3.66326300,0.08612204
0.00505481,3.67741100,0.08612204
0.00507081,3.69186800,0.08612204
0.00508681,3.70632400,0.08612204
0.00510281,3.72093400,0.08612204
0.00511881,3.73569800,0.08612204
0.00513481,3.75076900,0.08612204
0.00515081,3.76584000,0.08612204
0.00516681,3.78106500,0.08612204
0.00518281,3.79629100,0.08612204
0.00519881,3.81151600,0.08612204
0.00521481,3.82412600,0.08612204
0.00523081,3.83458400,0.08612204
0.00524681,3.84335000,0.08612204
0.00526281,3.85057800,0.08612204
0.00527881,3.85719100,0.08612204
0.00529481,3.86288100,0.08612204
0.00531081,3.86780300,0.08612204
0.00532681,3.87149400,0.08612204
0.00534281,3.87380100,0.08612204
0.00535881,3.87441600,0.08612204
0.00537481,3.87333900,0.08612204
0.00539081,3.87011000,0.08612204
0.00540681,3.86457300,0.08612204
0.00542281,3.85657600,0.08612204
0.00543881,3.84565700,0.08612204
0.00545481,3.83197000,0.08612204
0.00547081,3.81505300,0.08612204
0.00548681,3.79475300,0.08612204
0.00550281,3.77091500,0.08612204
0.00551881,3.74323300,0.08612204
0.00553481,3.71170600,0.08612204
0.00555081,3.67602700,0.08612204
0.00556681,3.63619600,0.08612204
0.00558281,3.59190400,0.08612204
0.00559881,3.54300000,0.08612204
0.00561481,3.48963500,0.08612204
0.00563081,3.43150200,0.08612204
0.00564681,3.36860200,0.08612204
0.00566281,3.30093500,0.08612204
0.00567881,3.22850000,0.08612204
0.00569481,3.15114400,0.08612204
0.00571081,3.06886700,0.08612204
